id,username,fullname,biography,followerCount,category,isVerified
145821237,kourtneykardash,Kourtney Kardashian Barker,@poosh @lemme,220515055,,True
208560325,khloekardashian,Khloé Kardashian,My fragrance XO KHLOÉ is available now at Harrods UK and Ulta stores nationwide!,304974234,,True
292236837,emmachamberlain,emma chamberlain,"@anythinggoes 
@chamberlaincoffee",14926748,,True
415505158,itsmarziapie,Marzia Kjellberg,"🧸 Mom to little Björn
🌸 Founder of @mai_accents & co-founder @tsuki_market 
✏️ secretmarzia@gmail.com / cc: marziaventures@gmail.com",8736180,,True
13506898,pewdiepie,PewDiePie,Subscribe to my newsletter with @itsmarziapie,20782774,,True
14081467,nikkietutorials,NikkieTutorials,"♡ founder @nimya ♡ 
🎧 podcast @lightlesslounge 💡
🩷❤️🧡💛💚💙🤍🖤",19318107,,True
39146388708,nimya,Nimya by NikkieTutorials,"🧡 @nikkietutorials 💙
🏳️‍🌈 Queer Owned 🏳️‍🌈
📩 press@nimya.com
✨ We live in a world full of labels, but with Nimya you get to create your own ✨",208713,,True
1559944,jeffreestar,Jeffree Star,"Makeup Mogul -  @jeffreestarcosmetics 💄Yak Rancher - @staryakranch 🚜 Living in Wyoming, living my dreams…",13542953,,True
514227182,jeffreestarcosmetics,Jeffree Star Cosmetics,🌟 SHOP THE NEW GOLD BLOODED 10 YEAR ANNIVERSARY COLLECTION 🌟⁠,5981445,COSMETICS_BEAUTY_SUPPLY,True
2153680783,jamescharles,James Charles,"Blend, but don’t blend in. 🎨💞
@painted.co",20046315,,True
513607426,dantdm,DanTDM,i make YouTube videos. Asher & Miles’ Dad💙 Business only: management@dantdmteam.com,3655772,,True
11521371255,youtooz,youtooz,"turning the joys of the internet into collectible items, made for you and me.
-
if you need help with your order, please email support@youtooz.com",1390888,,True
493525227,loganpaul,Logan Paul,"artist — boxer — wrestler
founder @drinkprime @lunchly 
host @impaulsiveshow",27260022,,True
66454730758,lunchly,,Lunch just got better. #LeaveNoCrumbs,208316,,True
260375673,fcbarcelona,FC Barcelona,"💙 1899/2024: 125è ANIVERSARI ❤️
✊ Més Que Un Club ✊        
🎄💙❤️ XMAS BARÇA👇",133520743,,True
194317179,juventus,Juventus,"We are youth. Since 1897. 
An Italian icon, timeless in spirit. ⚪⚫
More contents ↪️ @juventuswomen
Watch “Fragile - The Story of Nicolò Fagioli’  📺 ⤵️",60318994,SPORTS_TEAM,True
48770691502,drinkprime,PRIME,PRIME BY @loganpaul & @ksi,2482202,,True
1522837371,jakepaul,Jake Paul,"You probably smell… get W at Walmart @itscalledw 
Founder @mostvaluablepromotions 
Founder @betr",28757968,,True
46040176900,mostvaluablepromotions,Most Valuable Promotions,"We create the Most Valuable events, fights and fighters.",766525,,True
207587378,netflix,Netflix US,,35337533,,True
18848562,miketyson,Mike Tyson,"Official Mike Tyson Instagram
Shop @miketysoncollection 
Tyson Pro @tysonpro
Follow @itstyson20
Account controlled by Tyson’s Team",34293874,PERSON,True
3473026685,kevikodra,Kevin Kodra,"@Nudestix Global Makeup Artist
🇦🇱 Toronto/LA/NYC
MGMT: Info@kevikodra.com",387768,,True
228817698,juttaleerdam,Jutta Leerdam,"🥇6 x World Champion speedskating.
📧 Nakisa@bavafasports.com",4952202,,True
224935393,bretmanrock,Bretman Rock,"Da one and only ✨ 🏝️Host of @dabaddestradio🎙️
DabaddestTeam@unitedtalent.com",18747691,,True
177402262,lelepons,Lele Pons,"Dwts Season 32 Contestant💃🏼🕺🏻
Born in 🇻🇪🇻🇪🇻🇪",53609122,,True
44222792,hudabeauty,HUDA BEAUTY,"by Makeup Artist and Blogger @huda 
BEAUTY IS SELF MADE 🩷
Products tested on Huda, NOT animals
Shop the 𝑰𝑪𝒀 𝑵𝑼𝑫𝑬 𝑪𝒐𝒍𝒍𝒆𝒄𝒕𝒊𝒐𝒏 ↓",54675460,,True
14805456,zachking,Zach King,"😃 Stories can make people smile.
📬Contact - hello@zachkingteam.com
⤵️ Watch my YouTube Channel ⤵️",29186430,,True
3132929984,willsmith,Will Smith,Same kid from West Philly. TANTRUM out now! 👇🏾,69624363,,True
1092720223,observatorynorthpark,Observatory North Park,"Historic theater for live music in the heart of North Park 🎶
Hungry? Swing by @westcoasttavern for Happy Hour drinks & appetizers from 5-6:30PM! 🍔🍻",64705,,True
31770081691,spotifypodcasts,Spotify Podcasts,podcast recommendations that go hard,226887,PRODUCT_SERVICE,True
1684102154,primevideo,Prime Video,"Your Fault, they're back. Culpa Tuya is out now.",4557649,WEBSITE,True
1337343,youtube,YouTube,like and subscribe.,31167771,PRODUCT_SERVICE,True
8585533098,cloakbrand,Cloak,"Hidden in plain sight
Text us: 58094",612429,CLOTHING,True
3439002676,milliebobbybrown,Millie Bobby Brown,founder of florence by mills,63449698,,True
1670741702,apocalypto_12,Tyler Scheid,"Host of the @gmfstpodcast 
Actor, Model, Entertainer, & Internet Personality!
Spreading kindness & positivity
#SmileAlways",219114,,False
704051376,markiplier,Markiplier,,12108760,PERSON,True
8443283,lizakoshy,Liza Koshy,"Family Affair @netflix
Players @netflix
@transformersmovie
@teenagekrakenmovie",20210560,,True
3131774720,aboutyou,ABOUT YOU,"Fashion isn’t about anyone else - it‘s #AboutYou
All things menswear🔎 @aboutyou_men 
Discover our latest drops now💥⬇️",1391583,TOPIC_SHOPPING_RETAIL,True
11157525,toryburch,TORY BURCH,"Founder, Designer & Executive Chairman
Empowering Women & Entrepreneurs
@toryburchfoundation @torysport",3731849,,True
189393625,ddlovato,Demi Lovato,Child Star on Hulu Out Now 🖤,154262533,,True
62214709902,graziausa_,GRAZIA USA,"The global authority on fashion, beauty, and culture.",106196,MAGAZINE,False
1574083,snoopdogg,snoopdogg,"MISSIONARY OUT NOW. @deathrowrecords 
Official store @snoopysclothing + @snoopermarket
@skechers Footwear link below ⬇️",88653502,,True
6600224001,forstonerzonlyradio,STONERZ MUSIC 3 ALBUM,Follow @forstonerzonly @dagopushcontinues @stonerzmusicalbum @damu_musicgroup @damushoes_limited @sheready42020 @23blockssd @stonerzchoice,7608,PERSON,False
198539316,harpersbazaarus,Harper’s BAZAAR,The Culture of Style,5707835,MAGAZINE,True
325734299,mileycyrus,Miley Cyrus,,213762618,,True
185923994,tanamongeau,tana mongeau,"not bad for a 5 with no talent
CANCELLED MERCH ON SALE NOW",5634863,PERSON,True
7229533,jeff,Jeff Wittek,"@jeffsbarbershops products now available on Amazon 
@jefffmclips podcast on YouTube/Spotify/Apple",2524890,,True
31027484,caseyneistat,Casey Neistat,youtube,2926048,,True
12223257,jessicaalba,Jessica Alba,"Founder of @honest, terrible speller, loyal friend, chingona. I play make believe for a living 🎭",20607050,,True
1822594644,chrishemsworth,Chris Hemsworth,,58803868,,True
54482474797,wildstateprod,Wild State Productions,Making stories and having fun.,7237,,True
389878167,elcorteingles,El Corte Inglés,"Home @elcorteingleshome
Beauty @elcorteinglesbeauty
Food @elcorteinglesfood
Luxe @elcorteinglesluxe",1146639,COMPANY,True
12995776,gigihadid,Gigi Hadid,"khai’s mom.
founder, creative director @guestinresidence.
IMG Worldwide.
⁣📷 @gisposable !!!⁣",77646082,,True
407964088,katyperry,KATY PERRY,"1️⃣4️⃣3️⃣2️⃣
OUT NOW",205170218,BANDS_MUSICIANS,True
1169172440,itv,ITV,The official home of all things ITV. Please note posts & comments to @itv may be displayed online & on-air by ITV. Full terms: itv.com/terms,796618,TV_CHANNEL,True
176618189,tomholland2013,Tom Holland,@berobrewing founder,64440533,,True
65355762454,berobrewing,BERO,"Premium Non-Alcoholic Beer Created by Tom Holland.
Near Beer Contains Less Than 0.5% Alc/Vol.",126079,,True
181415118,foodandwine,Food & Wine,Upgrade your everyday. Link in bio👇,4058540,MEDIA,True
8444702184,officialtommyfleetwood,Tommy Fleetwood,"Father, Stepfather and husband. Professional Golfer. Play for @wearelagc. Supported by @Nike @taylormadegolf @tagheuer @dpworld",702597,,True
212742998,shawnmendes,Shawn Mendes,"“Shawn” the album, out now",71570577,,True
11711285,interviewmag,Interview Magazine,Est. 1969 by Andy Warhol,1395239,MAGAZINE,True
14871097,johnlegend,John Legend,Get Lifted (20th Anniversary Edition) out now! Show love to @kismet @loved01skin @getlifted @lve_wines @itsgoodapp,15837637,,True
23745725,yutsai88,YuTsai Director / Photographer,"蔡宇 - Host, Fashion & Celebrity Photographer @yutsaiphoto that Cooks! Creator @theonlyhotsauce @streettokitchenasia and @letstalkwithyutsai",512353,,True
1022625,billboard,billboard,"@billboardcharts • @billboardlatin • @billboardhiphop • @billboarddance • @billboardpride
billboard does not solicit payment for coverage 🚫
news👇",17211321,MEDIA_NEWS_COMPANY,True
7174482,qvc,QVC,"This is Shopping Brought to Life. #LoveQVC
Text us! 📲 Message SOCIAL to 79537
to sign up to receive texts from QVC. ☎️
TAP LINK ⬇️ TO SHOP OUR FEED!",741530,RETAIL_COMPANY,True
12026957,nbcthevoice,NBC's The Voice,🎶 This is #TheVoice! 🎶 Returning February 3 at 8/7c on @nbc and streaming on @peacock.,2456464,TV_SHOW,True
63903034085,kismet,Kismet,"🐶 Food, merch, and content for modern dog families.
❤️ Every purchase helps a pup.
💫 Made for each other.
 #kismetpets",17763,,False
295078956,abc,ABC,My New Year's resolution? Watch more TV 😌,1061055,TV_NETWORK,True
49895910006,jenniferhudsonshow,The Jennifer Hudson Show,Choose joy 💛,1533096,,True
30040735,davetozer,Dave Tozer,Music Producer,1635,,True
184692323,ladygaga,Lady Gaga,"DISEASE OUT NOW
HARLEQUIN 🛟 OUT NOW
DIE WITH A SMILE ❤️‍🔥 @brunomars
JOKER: FOLIE À DEUX 🃏 @jokermovie",57678487,,True
208560325,khloekardashian,Khloé Kardashian,My fragrance XO KHLOÉ is available now at Harrods UK and Ulta stores nationwide!,304951093,,True
399069694,bustle,Bustle,,9534684,NEWS_SITE,True
20979117,aliciakeys,Alicia Keys,"Finally Out Now @swedishhousemafia ✨
Creator @keyssoulcare 💜",27473578,BANDS_MUSICIANS,True
19410587,kingjames,👑,,159638825,,True
16917874,lakers,Los Angeles Lakers,"Welcome to the #LakeShow
🏆 17x Champions
Want more? @LakersScene @loslakers @lakersarabic",24608854,SPORTS_TEAM,True
13460080,nike,Nike,Winning Isn't For Everyone. It's for those who do whatever it takes.,302789270,SPORTSWEAR_STORE,True
1819324468,uninterrupted,UNINTERRUPTED,An athlete empowerment brand founded by @kingjames & @mavcarter. #MoreThanAnAthlete,1192364,,True
388568904,ohiostatefb,Ohio State Football,"Official IG for The Ohio State Football
• 8️⃣ National Championships 🏆
• 3️⃣9️⃣ B1G Championships 🏆
• 7️⃣ Heisman Trophies🏆",1317273,,True
6590609,kevinhart4real,Kevin Hart,Live Love & Laugh!!!   Facebook.com/HartKevin Twitter: Kevinhart4real  #ComedicRockstar #ActingMyAge @therealhartbeat  @vitahustle @grancoramino,177882104,COMEDIAN,True
52217160,usainbolt,Usain St.Leo Bolt 🇯🇲,"""Anything is possible I don't think limits""",14027472,ATHLETE,True
187701049,eurosport,Eurosport,📺 Follow all our live and on-demand action on @discoveryplusuk ⤵️,1677503,SPORTS,True
218611974,digiceljamaica,Digicel Jamaica,"As a Digital Operator, Digicel delivers simply more sports, news, local radio, podcasts, messaging & much more. This is #BetterTogether 🇯🇲.",307684,ENTREPRENEUR,True
491527077,manchesterunited,Manchester United,The home of Manchester United.,64413753,SPORTS_TEAM,True
217392306,britishgq,British GQ,New luxury.,1222968,,True
985132664,worldathletics,World Athletics,"The home of running, jumping, throwing & walking. Get the inside track on the world’s best athletes & competitions.",2902682,SPORTS,True
38922713438,highperformance,High Performance,"📲 Download the High Performance App for more
🎙️ Hosted by @jakehumphrey & @liquidthinker
📢 Learn from industry leaders
💥 Unlock your full potential",286462,,True
15503147,serenawilliams,Serena Williams,"Athlete turned Entrepreneur.
Mom to @olympiaohanian and @adiraohanian
Check out: @wyn @serena.ventures @ninetwosix",17284055,,True
185036484,essence,ESSENCE,"We love Black women deeply. Since 1970. Proud home of the #ESSIES #BlackOwned #WeLoveUs
@EssenceFest  @essencegu_  @essencepodcasts.",3467496,MEDIA_NEWS_COMPANY,True
10206720,barackobama,Barack Obama,"Dad, husband, President, citizen.",36287855,,True
50579710828,thepivot,Pivot Podcast,"The Pivot A Part of Fanatics
Accept, Adjust & Move Forward
Emmy Nominated: Outstanding Hosted Edited Series",401926,,True
353469891,vicblends,VicBlends,"@planted 🌱
@deepcutpodcast with @21savage out now! 💈👇🏼",3708087,,True
212658006,kamalaharris,Kamala Harris,"Fighting for the people. Wife, Momala, Auntie. She/her. Official account is @VP.",19644345,POLITICIAN,True
